original_id,short_id,accession,organism,country,year
"KC534860.1 Klebsiella pneumoniae strain JIE1709 clone 1709-K35 OmpK35 (ompK35) gene, complete cds",KpNDM_0205_Unknown_Unknown,KC534860.1,Unknown,Unknown,Unknown
"KC539432.1 Klebsiella pneumoniae strain NF23142 metallo-beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0206_Unknown_Unknown,KC539432.1,Unknown,Unknown,Unknown
"KC539430.1 Klebsiella pneumoniae strain NF27378 metallo-beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0207_Unknown_Unknown,KC539430.1,Unknown,Unknown,Unknown
"KC539429.1 Klebsiella pneumoniae strain NF241942 metallo-beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0208_Unknown_Unknown,KC539429.1,Unknown,Unknown,Unknown
"KC534864.1 Klebsiella pneumoniae strain JIE2121 clone 2121-K36 OmpK36 (ompK36) gene, complete cds",KpNDM_0209_Unknown_Unknown,KC534864.1,Unknown,Unknown,Unknown
"KC534863.1 Klebsiella pneumoniae strain JIE2121 clone 2121-K35 truncated OmpK35 (ompK35) gene, complete cds",KpNDM_0210_Unknown_Unknown,KC534863.1,Unknown,Unknown,Unknown
"KC534862.1 Klebsiella pneumoniae strain JIE1709 clone 1709-K37 OmpK37 (ompK37) gene, complete cds",KpNDM_0211_Unknown_Unknown,KC534862.1,Unknown,Unknown,Unknown
"KC534861.1 Klebsiella pneumoniae strain JIE1709 clone 1709-K36 OmpK36 (ompK36) gene, complete cds",KpNDM_0212_Unknown_Unknown,KC534861.1,Unknown,Unknown,Unknown
"KC534865.1 Klebsiella pneumoniae strain JIE2121 clone 2121-K37 OmpK37 (ompK37) gene, complete cds",KpNDM_0213_Unknown_Unknown,KC534865.1,Unknown,Unknown,Unknown
"KC534866.1 Klebsiella pneumoniae strain JIE2681 clone 2681-K35 truncated OmpK35 (ompK35) gene, complete cds",KpNDM_0214_Unknown_Unknown,KC534866.1,Unknown,Unknown,Unknown
"KC534867.1 Klebsiella pneumoniae strain JIE2681 clone 2681-K36 OmpK36 (ompK36) gene, complete cds",KpNDM_0215_Unknown_Unknown,KC534867.1,Unknown,Unknown,Unknown
"KC534868.1 Klebsiella pneumoniae strain JIE2681 clone 2681-K37 OmpK37 (ompK37) gene, complete cds",KpNDM_0216_Unknown_Unknown,KC534868.1,Unknown,Unknown,Unknown
"KC534870.1 Klebsiella pneumoniae strain JIE2713 clone 2713-K36 OmpK36 (ompK36) gene, complete cds",KpNDM_0217_Unknown_Unknown,KC534870.1,Unknown,Unknown,Unknown
"KC534871.1 Klebsiella pneumoniae strain JIE2713 clone 2713-K37 OmpK37 (ompK37) gene, complete cds",KpNDM_0218_Unknown_Unknown,KC534871.1,Unknown,Unknown,Unknown
"KU543690.1 Klebsiella pneumoniae strain K.P-UC-16 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0219_Unknown_Unknown,KU543690.1,Unknown,Unknown,Unknown
"KU248755.1 Klebsiella pneumoniae strain K.P-UC-12 New Delhi metallo-beta-lactamase (blaNDM-1) gene, complete cds",KpNDM_0220_Unknown_Unknown,KU248755.1,Unknown,Unknown,Unknown
"KU543691.1 Klebsiella pneumoniae strain K.P-UC-17 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0221_Unknown_Unknown,KU543691.1,Unknown,Unknown,Unknown
"KU543692.1 Klebsiella pneumoniae strain K.P-UC-18 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0222_Unknown_Unknown,KU543692.1,Unknown,Unknown,Unknown
"KU570059.1 Klebsiella pneumoniae strain K.P-UC-20 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0223_Unknown_Unknown,KU570059.1,Unknown,Unknown,Unknown
"KU570058.1 Klebsiella pneumoniae strain K.P-UC-19 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0224_Unknown_Unknown,KU570058.1,Unknown,Unknown,Unknown
"KU570060.1 Klebsiella pneumoniae strain K.P-UC-21 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0225_Unknown_Unknown,KU570060.1,Unknown,Unknown,Unknown
"KU577458.1 Klebsiella pneumoniae strain K.P-UC-22 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0226_Unknown_Unknown,KU577458.1,Unknown,Unknown,Unknown
"KU577461.1 Klebsiella pneumoniae strain K.P-UC-25 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0227_Unknown_Unknown,KU577461.1,Unknown,Unknown,Unknown
"KU577460.1 Klebsiella pneumoniae strain K.P-UC-24 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0228_Unknown_Unknown,KU577460.1,Unknown,Unknown,Unknown
"KU577459.1 Klebsiella pneumoniae strain K.P-UC-23 beta-lactamase NDM-1 (blaNDM-1) gene, complete cds",KpNDM_0229_Unknown_Unknown,KU577459.1,Unknown,Unknown,Unknown
"NG_047770.1 Klebsiella pneumoniae pKpANDM-1 ere(A) gene for EreA family erythromycin esterase, complete CDS",KpNDM_0230_Unknown_Unknown,NG_047770.1,Unknown,Unknown,Unknown
"MH168507.2 Klebsiella pneumoniae strain DMC-43a metallo-beta-lactamase NDM-5 (blaNDM-5) gene, complete cds",KpNDM_0231_Unknown_Unknown,MH168507.2,Unknown,Unknown,Unknown
"MH168508.2 Klebsiella pneumoniae strain DMC-26 metallo-beta-lactamase NDM-5 (blaNDM-5) gene, complete cds",KpNDM_0232_Unknown_Unknown,MH168508.2,Unknown,Unknown,Unknown
"MH168509.2 Klebsiella pneumoniae strain DMC-19b metallo-beta-lactamase NDM-5 (blaNDM-5) gene, complete cds",KpNDM_0233_Unknown_Unknown,MH168509.2,Unknown,Unknown,Unknown
