original_id,short_id,accession,organism,country,year
"OP346089.1 Klebsiella pneumoniae strain CRE6 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0152_Unknown_Unknown,OP346089.1,Unknown,Unknown,Unknown
"OP346090.1 Klebsiella pneumoniae strain CRE11 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0153_Unknown_Unknown,OP346090.1,Unknown,Unknown,Unknown
"OP346091.1 Klebsiella pneumoniae strain CRE13 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0154_Unknown_Unknown,OP346091.1,Unknown,Unknown,Unknown
"OP346076.1 Klebsiella pneumoniae strain CRE106 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0155_Unknown_Unknown,OP346076.1,Unknown,Unknown,Unknown
"OP346077.1 Klebsiella pneumoniae strain CRE81a subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0156_Unknown_Unknown,OP346077.1,Unknown,Unknown,Unknown
"OP346079.1 Klebsiella pneumoniae strain CRE90a subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0157_Unknown_Unknown,OP346079.1,Unknown,Unknown,Unknown
"OP346082.1 Klebsiella pneumoniae strain CRE12 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0158_Unknown_Unknown,OP346082.1,Unknown,Unknown,Unknown
"OP346074.1 Klebsiella pneumoniae strain CRE78 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0159_Unknown_Unknown,OP346074.1,Unknown,Unknown,Unknown
"OP346073.1 Klebsiella pneumoniae strain CRE75 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0160_Unknown_Unknown,OP346073.1,Unknown,Unknown,Unknown
"OP346072.1 Klebsiella pneumoniae strain CRE73 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0161_Unknown_Unknown,OP346072.1,Unknown,Unknown,Unknown
"OP346071.1 Klebsiella pneumoniae strain CRE71 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0162_Unknown_Unknown,OP346071.1,Unknown,Unknown,Unknown
"OQ428225.1 Klebsiella pneumoniae strain Co-CRKP7 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0163_Unknown_Unknown,OQ428225.1,Unknown,Unknown,Unknown
"OQ428226.1 Klebsiella pneumoniae strain Co-CRKP8 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0164_Unknown_Unknown,OQ428226.1,Unknown,Unknown,Unknown
